Date,modelled_flow
02/10/1903, 125.526585028654
03/10/1903, 124.40062989665
04/10/1903, 123.28965603631
05/10/1903, 122.193580786056
06/10/1903, 121.111429097854
07/10/1903, 120.043447744086
08/10/1903, 119.048221068421
09/10/1903, 118.089188574437
10/10/1903, 116.980724802921
11/10/1903, 115.914319332648
12/10/1903, 114.906807818747
13/10/1903, 113.91825534194
14/10/1903, 112.942365323404
15/10/1903, 111.978624149105
16/10/1903, 111.055918520908
17/10/1903, 110.148181939034
18/10/1903, 109.297526253705
19/10/1903, 108.529364432805
20/10/1903, 107.571046475063
21/10/1903, 106.756247868729
22/10/1903, 105.642385388302
23/10/1903, 104.683183906168
24/10/1903, 103.821031754409
25/10/1903, 102.968368103413
26/10/1903, 102.370956311665
27/10/1903, 101.982488438376
28/10/1903, 100.900717576727
29/10/1903, 99.6581656849693
30/10/1903, 98.8615076098595
31/10/1903, 98.0759789267337
01/11/1903, 97.2850104745498
02/11/1903, 96.5087226486595
03/11/1903, 95.7384845039128
04/11/1903, 100.200965114005
05/11/1903, 132.554958604729
06/11/1903, 153.349702417838
07/11/1903, 107.827082100927
08/11/1903, 106.742603512793
09/11/1903, 105.756070981002
10/11/1903, 104.750895495406
11/11/1903, 103.801278530364
12/11/1903, 102.836622366022
13/11/1903, 102.074627138692
14/11/1903, 101.344305489145
15/11/1903, 100.126534261587
16/11/1903, 99.2123786374891
17/11/1903, 98.3725976237918
18/11/1903, 97.7582910625337
19/11/1903, 97.6578349699731
20/11/1903, 108.155930598989
21/11/1903, 208.021969276303
22/11/1903, 355.785173031145
23/11/1903, 279.226464466181
24/11/1903, 147.302316197971
25/11/1903, 146.493149178469
26/11/1903, 144.361189437765
27/11/1903, 142.420844105375
28/11/1903, 140.644057346065
29/11/1903, 138.93036758272
30/11/1903, 137.245423886329
01/12/1903, 135.579931177168
02/12/1903, 133.948915607042
03/12/1903, 132.345230685158
04/12/1903, 130.768317559643
05/12/1903, 129.21768849605
06/12/1903, 141.127537628223
07/12/1903, 323.026545344988
08/12/1903, 500.231566885147
09/12/1903, 265.450830582152
10/12/1903, 223.466872806185
11/12/1903, 542.438888164598
12/12/1903, 954.511000287115
13/12/1903, 536.320083645662
14/12/1903, 405.230350284598
15/12/1903, 593.101348589099
16/12/1903, 426.246410760177
17/12/1903, 281.614949663696
18/12/1903, 278.143612436583
19/12/1903, 273.275588051932
20/12/1903, 269.176036583676
21/12/1903, 264.996346011265
22/12/1903, 260.763243427657
23/12/1903, 263.977714227255
24/12/1903, 428.912272011711
25/12/1903, 854.124317178842
26/12/1903, 1025.37397473178
27/12/1903, 873.505678296972
28/12/1903, 887.416644472086
29/12/1903, 1104.62727713708
30/12/1903, 1447.96297841583
31/12/1903, 1539.99577982726
01/01/1904, 1572.23400061009
02/01/1904, 2073.40382837284
03/01/1904, 2009.72941910891
04/01/1904, 1397.62320718982
05/01/1904, 1431.03881337529
06/01/1904, 2205.20542700445
07/01/1904, 2842.60162472252
08/01/1904, 3267.56820853505
09/01/1904, 2852.78478511056
10/01/1904, 2032.5709324383
11/01/1904, 1541.90120014692
12/01/1904, 1247.66875746262
13/01/1904, 1066.40466253027
14/01/1904, 952.902140592235
15/01/1904, 892.237636201561
16/01/1904, 852.797047555732
17/01/1904, 825.162399503889
18/01/1904, 804.103055862978
19/01/1904, 786.712517624379
20/01/1904, 771.391210699809
21/01/1904, 757.270778805634
22/01/1904, 743.886672159672
23/01/1904, 730.99480993072
24/01/1904, 718.467997016275
25/01/1904, 706.303086368699
26/01/1904, 694.722817967014
27/01/1904, 683.179153228499
28/01/1904, 671.086603960134
29/01/1904, 659.862584841792
30/01/1904, 649.406301070259
31/01/1904, 639.477074341503
01/02/1904, 628.379159423594
02/02/1904, 617.533930032482
03/02/1904, 607.323582516371
04/02/1904, 596.840782847505
05/02/1904, 587.050493756469
06/02/1904, 577.451467186644
07/02/1904, 568.039744657905
08/02/1904, 558.811690830904
09/02/1904, 549.76333459742
10/02/1904, 540.89092458673
11/02/1904, 532.197476612821
12/02/1904, 528.034518378767
13/02/1904, 676.894643439892
14/02/1904, 976.831704491481
15/02/1904, 950.880316637514
16/02/1904, 828.810750301803
17/02/1904, 838.773430872305
18/02/1904, 690.934602576646
19/02/1904, 615.199712695142
20/02/1904, 539.721755321508
21/02/1904, 517.916733568191
22/02/1904, 506.06258064371
