Date,Storage Routing: Default Link #115 - Storage routing: Downstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Upstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Storage Volume (ML)
1897-05-15,16.0489752243245,16.0384,0.763948244503425
1897-05-16,15.7562736834617,15.7458,0.753474561041723
1897-05-17,15.4676746180695,15.4573,0.743099942972176
1897-05-18,15.1829817219921,15.1727,0.732818220980043
1897-05-19,14.9020917249804,14.8919,0.722626495999628
1897-05-20,14.6250975120274,14.615,0.712528983972185
1897-05-21,14.3518093760025,14.3418,0.702519607969654
1897-05-22,14.0822206774708,14.0723,0.692598930498862
1897-05-23,13.8163311667844,13.8065,0.682767763714501
1897-05-24,13.5544300467612,13.5447,0.673037716953337
1897-05-25,13.295563601991,13.2859,0.663374114962384
1897-05-26,13.040179796962,13.0306,0.653794318000391
1897-05-27,12.7884873316692,12.779,0.644306986331227
1897-05-28,12.5402046498399,12.5308,0.634902336491317
1897-05-29,12.2952252620544,12.2859,0.625577074436929
1897-05-30,12.0568197274968,12.0477,0.6164573469401
1897-05-31,11.8198110904918,11.8107,0.607346256448256
1897-06-01,11.5821809550413,11.573,0.598165301406971
1897-06-02,11.348667879421,11.3396,0.589097421985996
1897-06-03,11.1197353985838,11.1108,0.58016202340215
1897-06-04,10.894342296781,10.8855,0.571319726621099
1897-06-05,10.6773558096505,10.6688,0.562763916970576
1897-06-06,10.4557816830352,10.447,0.553982233935427
1897-06-07,10.2361507061166,10.2274,0.545231527818853
1897-06-08,10.0222669486924,10.0137,0.536664579126413
1897-06-09,9.81139132474975,9.8029,0.528173254376663
1897-06-10,9.60370751309469,9.5953,0.519765741281972
1897-06-11,9.39883822777612,9.3905,0.511427513505852
1897-06-12,9.19936248109899,9.1912,0.503265032406867
1897-06-13,8.99817737518286,8.9899,0.494987657224012
1897-06-14,8.8001910606552,8.792,0.486796596568809
1897-06-15,8.6060757598,8.598,0.478720836768813
1897-06-16,8.41461025528885,8.4066,0.470710581479962
1897-06-17,8.22622594512686,8.2183,0.462784636353097
1897-06-18,29.4317833141989,30.1729,1.20390132215421
1897-06-19,67.7305014017684,68.776,2.24939992038584
1897-06-20,70.3079020316695,70.3718,2.3132978887163
1897-06-21,53.5605904626956,53.1336,1.88630742602068
1897-06-22,43.7849028207129,43.5203,1.62170460530778
1897-06-23,36.2902954554815,36.0773,1.40870914982628
1897-06-24,33.5364589937267,33.4555,1.32775015609958
1897-06-25,35.3457308941104,35.3991,1.38111926198921
1897-06-26,30.1172494340967,29.961,1.22486982789252
1897-06-27,33.370354932081,33.4683,1.32281489581152
1897-06-28,28.4689736914776,28.3204,1.17424120433393
1897-06-29,24.4381413180258,24.3111,1.04719988630814
1897-06-30,21.2807085248653,21.1775,0.943991361442837
1897-07-01,18.8026070365151,18.7189,0.860284324927718
1897-07-02,16.8451835405963,16.7771,0.792200784331428
1897-07-03,15.2903976089824,15.2349,0.736703175349023
1897-07-04,14.0461357322163,14.0007,0.69126744313273
1897-07-05,13.0412335028417,13.0038,0.653833940290999
1897-07-06,12.2207991038309,12.1897,0.622734836460058
1897-07-07,11.5429882664079,11.5169,0.596646570052168
1897-07-08,10.9754401112394,10.9533,0.574506458812743
1897-07-09,10.4938136168232,10.4748,0.555492841989588
1897-07-10,10.0832798202876,10.0669,0.539113021701978
1897-07-11,9.71580378477892,9.701,0.524309236923058
1897-07-12,9.38965648025892,9.3764,0.511052756664139
1897-07-13,9.09718586643165,9.0852,0.499066890232483
1897-07-14,8.82964868281825,8.8186,0.48801820741423
1897-07-15,8.58181007841031,8.5715,0.477708129003922
1897-07-16,8.34972252895215,8.34,0.467985600051772
1897-07-17,8.13025614354216,8.121,0.458729456509613
1897-07-18,7.92108044029017,7.9122,0.449849016219441
1897-07-19,7.72037607299739,7.7118,0.441272943222047
1897-07-20,7.52759034737462,7.5193,0.432982595847425
1897-07-21,7.33963393160828,7.3315,0.424848664239148
1897-07-22,7.15638068831424,7.1484,0.416867975924909
1897-07-23,6.98232746604572,6.9747,0.409240509879188
1897-07-24,141.447702999644,144.9462,3.90773751023557
1897-07-25,897.148984775317,908.8593,15.6180527349188
1897-07-26,648.437092488632,645.0618,12.2427602462869
1897-07-27,320.835613117158,315.8154,7.222547129129
1897-07-28,252.123437148583,250.9291,6.02820998054545
1897-07-29,201.851469710109,200.9254,5.10214027043636
1897-07-30,163.116417719551,162.3629,4.34862255088546
1897-07-31,133.210141418542,132.5973,3.73578113234369
1897-08-01,110.09184706332,109.5942,3.23813406902352
1897-08-02,92.1936528623931,91.7902,2.83468120663046
1897-08-03,78.3118566643756,77.9853,2.50812454225482
1897-08-04,67.5199706209207,67.256,2.24415392133413
1897-08-05,59.1070629529954,58.8939,2.03099096833872
1897-08-06,52.5237374252488,52.3516,1.85885354308991
1897-08-07,47.3460001199142,47.2068,1.71965342317568
1897-08-08,43.2556723648511,43.143,1.6069810583246
1897-08-09,39.9966885210676,39.905,1.51529253725699
1897-08-10,37.3832812334796,37.3084,1.44041130377742
1897-08-11,35.2669028159437,35.2053,1.37880848783375
1897-08-12,33.533641979439,33.4825,1.32766650839472
1897-08-13,32.0973809249861,32.0545,1.28478558340858
1897-08-14,30.8895338374206,30.8531,1.24835174598797
1897-08-15,29.8592597147543,29.8279,1.21699203123368
1897-08-16,28.967075619221,28.9397,1.18961641201267
1897-08-17,28.1823529575237,28.1581,1.16536345448895
1897-08-18,27.4814068190499,27.4596,1.14355663543904
1897-08-19,26.8462795153281,26.8264,1.12367712011089
1897-08-20,26.2640280321399,26.2457,1.105349087971
1897-08-21,25.7261225775119,25.7091,1.08832651045906
1897-08-22,25.2138929393991,25.1976,1.07203357105999
1897-08-23,24.7294843060158,24.714,1.05654926504419
1897-08-24,24.2771283336241,24.2626,1.04202093142013
1897-08-25,23.8292513125083,23.8148,1.02756961891186
1897-08-26,23.3976892650988,23.3837,1.0135803538131
1897-08-27,22.9822284068383,22.9687,1.00005194697479
1897-08-28,22.5788922110553,22.5657,0.986859735919519
1897-08-29,43.54122874801,44.1693,1.6149309879095
1897-08-30,46.5840750027995,46.668,1.69885598511001
1897-08-31,36.9318111366881,36.6603,1.4273448484219
1897-09-01,33.1411501499469,33.0298,1.315994698475
1897-09-02,30.2432825488866,30.156,1.22871214958838
1897-09-03,27.9359973293564,27.865,1.15771482023193
1897-09-04,26.0812403730469,26.0231,1.09957444718504
1897-09-05,24.5753674372824,24.5274,1.05160700990264
1897-09-06,23.3474590611271,23.3078,1.01194794877553
1897-09-07,22.3143720459974,22.2806,0.978175902778163
1897-09-08,21.4457006769299,21.417,0.949475225848291
1897-09-09,20.7027772347936,20.678,0.924697991054672
1897-09-10,20.056630856883,20.0349,0.902967134171628
1897-09-11,19.4870029646934,19.4677,0.883664169478237
1897-09-12,18.9834805855392,18.9663,0.866483583939036
1897-09-13,18.5158579592728,18.4998,0.850425624666284
1897-09-14,18.0859524371133,18.0711,0.835573187552946
1897-09-15,17.6879298115319,17.6741,0.821743376021066
1897-09-16,17.3141581798964,17.3011,0.808685196124694
1897-09-17,16.958008266226,16.9455,0.796176929898655
1897-09-18,16.618292427976,16.6063,0.784184501922649
1897-09-19,16.2903355978317,16.2787,0.77254890409094
1897-09-20,15.973207236471,15.9619,0.761241667619917
1897-09-21,15.6661034229567,15.6551,0.750238244663262
1897-09-22,15.3676454339709,15.3569,0.739492810692364
1897-09-23,15.0816459452177,15.0713,0.729146865474633
1897-09-24,14.7933777723056,14.7829,0.718669093169035
1897-09-25,14.5080222978573,14.4976,0.70824679531175
1897-09-26,14.2301966317643,14.22,0.698050163547467
1897-09-27,13.9590978324492,13.9491,0.688052331098303
1897-09-28,272.711103468653,278.4168,6.3937488624453
1897-09-29,222.019558328861,221.1057,5.47989053358391
1897-09-30,120.618511200808,118.6063,3.4676793327754
1897-10-01,96.6709645152374,96.1406,2.93731481753796
1897-10-02,79.1952992871976,78.7873,2.52931553034038
1897-10-03,65.6956919608282,65.3649,2.19852356951218
1897-10-04,55.2332065060224,54.965,1.93031706348977
1897-10-05,47.1151558493314,46.8982,1.71336121415839
1897-10-06,40.7846345938662,40.6089,1.53762662029219
1897-10-07,35.833439126658,35.6912,1.39538749363417
1897-10-08,31.9509018433323,31.8359,1.28038565030185
1897-10-09,38.8894640282744,39.0928,1.48372162202747
1897-10-10,35.5363207045743,35.4393,1.38670091745316
1897-10-11,34.6631344602171,34.6375,1.36106645723608
1897-10-12,32.9956086007175,32.9462,1.31165785651859
1897-10-13,29.6139715693962,29.5118,1.20948628712235
1897-10-14,26.8816975088997,26.797,1.12478877822265
1897-10-15,24.7064768317102,24.6375,1.05581194651244
1897-10-16,22.9642468940499,22.9079,0.9994650524625
1897-10-17,21.5510924289002,21.5046,0.952972623562298
1897-10-18,20.3931658322369,20.3545,0.914306791325387
1897-10-19,19.4394600380859,19.4072,0.882046753239469
1897-10-20,18.6317326846029,18.6041,0.854414068636597
1897-10-21,17.9435790037848,17.9198,0.830635064851766
1897-10-22,17.3496083683523,17.3289,0.809926696499457
1897-10-23,16.8274514286538,16.8091,0.791575267845648
1897-10-24,16.3614001292897,16.3449,0.775075138555971
1897-10-25,15.939344161762,15.9243,0.760030976793949
1897-10-26,15.5519949051593,15.5381,0.746136071634679
1897-10-27,15.1920882260759,15.1791,0.733147845558737
1897-10-28,14.8542615695119,14.842,0.720886276046886
1897-10-29,14.5359183619006,14.5243,0.709267914146325
1897-10-30,14.2320495805895,14.2209,0.698118333556848
1897-10-31,13.9409374633339,13.9302,0.6873808702229
1897-11-01,13.6532657730537,13.6426,0.676715097169181
1897-11-02,13.3759356625591,13.3656,0.666379434610066
1897-11-03,13.1078424654494,13.0978,0.656336969160704
1897-11-04,12.8461522615328,12.8363,0.646484707627877
1897-11-05,12.5901854439804,12.5805,0.636799263647492
1897-11-06,12.3392432250202,12.3297,0.627256038627333
1897-11-07,12.0929150608404,12.0835,0.617840977786907
1897-11-08,11.8526303762508,11.8434,0.60861060153606
1897-11-09,11.6137239305726,11.6045,0.599386670963426
1897-11-10,11.378815923342,11.3697,0.59027074762146
1897-11-11,11.1482916599267,11.1393,0.581279087694722
1897-11-12,10.9212032089154,10.9123,0.5723758787793
1897-11-13,10.6974190534382,10.6886,0.563556825341084
1897-11-14,10.4795311159026,10.4709,0.554925709438436
1897-11-15,10.2626364455415,10.254,0.546289263896939
1897-11-16,10.0461652065238,10.0375,0.537624057373099
1897-11-17,9.83394064686946,9.8254,0.529083410503636
1897-11-18,9.62562814210666,9.6172,0.520655268396969
1897-11-19,9.42015793492944,9.4118,0.512297333467528
1897-11-20,9.21748876477285,9.2092,0.504008568694675
